,Precio,Metros_Construidos,Habitaciones,Baños,Terraza,Garaje,Orientación_norte,Orientación_sur,Orientación_este,Orientación_oeste,Conserje,Ático,Año_construcción,Distancia_centro,Distancia_metro,Barrio
201,125000.0,125.0,4,2.0,1.0,0,0,0,0.0,0,0,0,1974.0,1.9915637000703,0.252497844637667,49.0
202,157000.0,115.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1969.0,1.4673991455984,0.372365073009125,49.0
203,183000.0,150.0,3,2.0,1.0,0,0,0,1.0,0,0,0,1961.0,2.00568919597724,0.19136363730942,49.0
204,108000.0,71.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1965.0,1.64925639464236,0.367517645498644,49.0
205,202000.0,125.0,3,2.0,1.0,0,0,0,1.0,0,0,0,1981.0,1.89030978210552,0.475024078008995,49.0
206,240000.0,150.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1977.0,1.45629755497636,0.393936473944574,49.0
207,98000.0,88.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,2.3468383961682,0.298864169399546,63.0
208,124000.0,88.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1973.0,2.11023995873346,0.556487570546598,49.0
209,152000.0,105.0,2,1.0,1.0,0,0,0,1.0,0,0,0,1964.0,1.30675834420008,0.537822519805376,49.0
210,98000.0,75.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1960.0,1.70378369438934,0.327374593746974,49.0
211,179000.0,115.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1969.0,1.53611902872027,0.308787884957224,49.0
212,75000.0,60.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1958.0,2.53995856767507,0.295594009009986,49.0
